adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id,order
FALSE,0,3242711,Directing,McKenna Jean Harris,McKenna Jean Harris,1.705,,614a44a8cf1afd0043194066,Directing,Director,876716,1
FALSE,1,203808,Writing,Kellie Madison,Kellie Madison,1.4,/a8gYjqVz1eCfDeXWeonDEvd50O8.jpg,5fab5a2cb6abc40040f38657,Directing,Director,763025,1
FALSE,2,1668693,Directing,Izu Ojukwu,Izu Ojukwu,1.388,,6168e89690dde0002ac3bbfc,Directing,Director,885110,1
FALSE,2,2613318,Directing,Edward Drake,Edward Drake,1.357,,613103d5ab68490029ae70df,Directing,Director,763164,1
FALSE,2,76595,Acting,Byron Howard,Byron Howard,2.625,/ePJXkxrD44nM0VB7Xx9Q4ityzfT.jpg,5c93afebc3a36861b0e40d95,Directing,Director,568124,1
FALSE,2,1318201,Writing,Jared Bush,Jared Bush,1.96,/2gIwj1cnqZIKWaFg0ihmZnuZypR.jpg,5e321f35326c1900161ee019,Directing,Director,568124,2
FALSE,0,2114371,Directing,Alexandre Moratto,Alexandre Moratto,1.052,/W7BqXUyCHCqeGZjlwnd7w2V73I.jpg,5ffe6a706c8492003f9c4483,Directing,Director,785538,1
FALSE,1,1448492,Directing,Castille Landon,Castille Landon,3.629,/s1oXtmqyG9X0uDfiU5HidPB6BJx.jpg,5f6488921684f70036430cbe,Directing,Director,744275,1
FALSE,1,1395183,Directing,Chloé Zhao,Chloé Zhao,2.217,/4Zmu4uigEtq5qAwJKQZW5e2QhDg.jpg,6191c7c48e8d30004519318c,Directing,Director,524434,1
FALSE,2,1293994,Directing,Jon Watts,Jon Watts,4.895,/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg,5d8e630d109cd0002941162e,Directing,Director,634649,1
FALSE,2,11090,Directing,Edgar Wright,Edgar Wright,9.498,/dQzv5Ml2SkelS33hgl7E2oh0a9S.jpg,5c460304c3a3684777839e73,Directing,Director,576845,1
FALSE,2,17825,Directing,Shawn Levy,Shawn Levy,7.663,/b1ulkCHz8biG87LjLQQiMCebEZo.jpg,5bb93c4d0e0a2634f7018330,Directing,Director,550988,1
FALSE,2,137427,Directing,Denis Villeneuve,Denis Villeneuve,9.232,/zdDx9Xs93UIrJFWYApYR28J8M6b.jpg,58920db99251412dd10093b4,Directing,Director,438631,1
FALSE,2,6733,Writing,Dan Mazer,Dan Mazer,2.198,/AibJrdiVq0nZmSeNAGSrlY0yIi1.jpg,5df0388585da1200174e1e4b,Directing,Director,654974,1
FALSE,2,1059578,Directing,Jeymes Samuel,Jeymes Samuel,1.153,/uDmJwZHQQ52H70QoYjGSwrHeVue.jpg,5d391e0660c51d0013897391,Directing,Director,618162,1
FALSE,2,16808,Acting,Matthias Schweighöfer,Matthias Schweighöfer,6.389,/i4c5JjvC5EpecZbp4J96mFmtm0Z.jpg,60276f21df857c0041def55f,Directing,Director,796499,1
FALSE,2,562730,Acting,Danila Kozlovsky,Danila Kozlovsky,2.657,/burD0f0IEOj6FyU5Zokf6VLhHKe.jpg,5c938f72c3a36861b3e3ddda,Directing,Director,589761,1
FALSE,2,1250035,Directing,Takayuki Hamana,Takayuki Hamana,1.757,,60cfca900021340029e7f6ef,Directing,Director,843241,1
FALSE,2,87742,Directing,Marc Webb,Marc Webb,4.607,/65tk6xLNEW4EG0CSrxbVeHDi03a.jpg,52fe4323c3a36847f803d167,Directing,Director,1930,1
FALSE,2,91268,Directing,Ruben Fleischer,Ruben Fleischer,1.315,/3JLxOPFTLigSy8FjFjDyMwD9GIp.jpg,591f4294925141485e039738,Directing,Director,335983,1
FALSE,2,18864,Acting,Tom McGrath,Tom McGrath,2.859,/83lSBvaRShYObPvhE89UDUkUfWo.jpg,607957e5ab68490029c7a69c,Directing,Director,459151,1
FALSE,2,57270,Directing,Robert Schwentke,Robert Schwentke,1.988,/awPMXTPvBQFlUWVt8I7WOv8ajYg.jpg,5c4ce1030e0a2662a4c5c720,Directing,Director,568620,1
FALSE,2,1614750,Directing,Andres Beltran,Andres Beltran,0.6,,5fd72906c995ee003f51c2d4,Directing,Director,775943,1
FALSE,2,1283010,Directing,Haruo Sotozaki,Haruo Sotozaki,5.721,/9SsLeBJkFluywq7YaEQiC9iIFBq.jpg,605614a3ab1bc700287968fc,Directing,Director,635302,1
FALSE,2,529184,Directing,Navot Papushado,Navot Papushado,0.84,/draGfloxnD66STeho3O3fJcRUja.jpg,5c37684fc3a3685f0128434d,Directing,Director,574060,1
FALSE,2,12080,Acting,Conrad Vernon,Conrad Vernon,4.973,/c7MIz3sy6UPhBh9YnThd7j8ypdl.jpg,5f7e10ccc8113d0037a557a8,Directing,Director,639721,1
FALSE,2,142587,Directing,Greg Tiernan,Greg Tiernan,2.232,,5f7e10b435c30a0037719803,Directing,Director,639721,2
FALSE,2,39104,Directing,Abel Ferrara,Abel Ferrara,1.644,/wWyt14GTVm98OXdGihO8xeE4ZYL.jpg,5fa993419ac5350042b879e4,Directing,Director,762433,1
FALSE,2,115122,Directing,Dmitriy Dyachenko,Dmitriy Dyachenko,0.604,/3q184BKx0f6D13YMrB8UAoVUFZc.jpg,5c9e1568c3a3686f0500b415,Directing,Director,589754,1
FALSE,2,59521,Directing,Jaume Collet-Serra,Jaume Collet-Serra,1.975,/s1MdlS2wnzfKevPfXK63V1qkwfI.jpg,597f72819251415dba034884,Directing,Director,451048,1
FALSE,2,1612783,Directing,Sung Jin Ahn,Sung Jin Ahn,1.024,,5eeec052ed2ac200329c60c6,Directing,Director,703771,1
FALSE,2,930567,Directing,Enrico Casarosa,Enrico Casarosa,0.705,/3UzBWIqYw0T0aLkdp6oEyLzWOE0.jpg,5f22cfa53503980033e31828,Directing,Director,508943,1
FALSE,2,58189,Directing,Justin Lin,Justin Lin,7.686,/w0ryazdt8iS3GBrjXfv0FIwvUGY.jpg,5aed0d9e0e0a2635c2002fee,Directing,Director,385128,1
FALSE,2,54525,Directing,Jaume Balagueró,Jaume Balagueró,1.251,/geO40SjPO5G7nHn1pRrAGORD7xM.jpg,5d768ca55294e7000ff58fe9,Directing,Director,630004,1
FALSE,2,15218,Writing,James Gunn,James Gunn,5.813,/nHr6yzPF15jQz5eBke1SDNWectu.jpg,5c52b235c3a3687564861e86,Directing,Director,436969,1
FALSE,0,1098477,Writing,Cal Brunker,Cal Brunker,1.38,/40FRTywgDa9KwFwHUxkVqeSrESl.jpg,5e501a5db3e627001826636c,Directing,Director,675445,1
FALSE,2,1078616,Directing,Salvador Simó,Salvador Simó,1.38,,604ca9c81d5386003d167e3b,Directing,Director,805411,1
FALSE,2,1293994,Directing,Jon Watts,Jon Watts,4.895,/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg,5d1fb4490328b90010d87368,Directing,Director,429617,1
FALSE,2,507840,Writing,Yoav Paz,Yoav Paz,0.6,,5ee3a9e65b4fed002163503e,Directing,Director,714968,1
FALSE,2,507842,Writing,Doron Paz,Doron Paz,0.6,,5ee3a9d5d20c87002330f441,Directing,Director,714968,2
FALSE,2,81044,Directing,Alexandre Bustillo,Alexandre Bustillo,1.473,/voErWN6HFQ5xwRP1XodfgWbUMJ6.jpg,5e460b750c27100018865bb7,Directing,Director,672582,1
FALSE,2,81045,Directing,Julien Maury,Julien Maury,1.4,/wGjIJKoWjgqUM7Jo3olPDbmmxVM.jpg,5e460b6b0c271000158675c5,Directing,Director,672582,2
FALSE,2,172874,Crew,Kirk Caouette,Kirk Caouette,0.6,,5fbe55af6bdec3003d236bea,Directing,Director,768449,1
FALSE,2,72024,Directing,Malcolm D. Lee,Malcolm D. Lee,2.342,/aae8K7qO5XYployiStHbAMMbahM.jpg,5d2ded0a66e469001180a108,Directing,Director,379686,1
FALSE,1,93286,Directing,Cate Shortland,Cate Shortland,2.393,/4XvyAyqYH8QDMbo0OwZtRHtbLti.jpg,5b47e3b80e0a267ad500fb11,Directing,Director,497698,1
FALSE,0,3156196,Directing,Sam Fichtner,Sam Fichtner,0.6,,60ed600c6dc507002e049874,Directing,Director,849938,1
FALSE,2,87742,Directing,Marc Webb,Marc Webb,4.607,/65tk6xLNEW4EG0CSrxbVeHDi03a.jpg,52fe4a07c3a36847f81b4773,Directing,Director,102382,1
FALSE,2,64141,Directing,David Gordon Green,David Gordon Green,3.681,/fJqIVaVwLeFBlZKQTDbzbcvV4XZ.jpg,5d0c2f240e0a267c5eca613e,Directing,Director,610253,1
FALSE,0,1673501,Writing,Bartosz M. Kowalski,Bartosz M. Kowalski,1.38,/nktxldYtohRYm1laBKZO0qLd41R.jpg,61382520d64ac2004321c4e2,Directing,Director,871964,1
FALSE,2,1293994,Directing,Jon Watts,Jon Watts,4.895,/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg,5e8672d3e375c000143dea73,Directing,Director,315635,1
FALSE,2,50767,Directing,Craig Gillespie,Craig Gillespie,2.733,/pVHspL9QWsXCm3t3VXEaCJ9y8Zz.jpg,60ef20b29661fc005d7bb248,Directing,Director,337404,1
FALSE,0,580800,Writing,Piotr Mularuk,Piotr Mularuk,0.6,,60e2db38db154f005e4a4306,Directing,Director,846167,1
FALSE,0,1698684,Production,Scott Jeffrey,Scott Jeffrey,2.675,,60c4500299259c00791d8b25,Directing,Director,839436,1
FALSE,2,182892,Directing,Mike Rohl,Mike Rohl,1.402,/6MFWkS5rVa8NSh9gW9kYMLlkxmV.jpg,60904362a097dc003f953745,Directing,Director,785533,1
FALSE,2,7623,Directing,Sam Raimi,Sam Raimi,3.427,/8gssvwiPrFRuFRlr5ruKx68k1Jl.jpg,52fe4252c3a36847f801512d,Directing,Director,559,1
FALSE,2,1828590,Directing,Simon McQuoid,Simon McQuoid,1.166,/pFKRKvSb6N3CMNZYLpGmdSPIjch.jpg,593475c3c3a36859ef0253af,Directing,Director,460465,1
