,adult_main,budget_main,id_main,release_date_main,revenue_main,runtime_main,original_language_main,Action_genre_main,Adventure_genre_main,Animation_genre_main,Comedy_genre_main,Crime_genre_main,Documentary_genre_main,Drama_genre_main,Family_genre_main,Fantasy_genre_main,History_genre_main,Horror_genre_main,Music_genre_main,Mystery_genre_main,Romance_genre_main,Science Fiction_genre_main,TV Movie_genre_main,Thriller_genre_main,War_genre_main,Western_genre_main,collection_popularity_coll_details,popularity_crew,0_gender_crew,1_gender_crew,2_gender_crew,3_gender_crew,Directing_relevance_crew,popularity_crew_2,0_gender_crew_2,1_gender_crew_2,2_gender_crew_2,3_gender_crew_2,Directing_relevance_crew_2,popularity_crew_3,0_gender_crew_3,1_gender_crew_3,2_gender_crew_3,3_gender_crew_3,Directing_relevance_crew_3,popularity_cast,2_gender_cast,1_gender_cast,0_gender_cast,3_gender_cast,Acting_relevance_cast,popularity_cast_2,2_gender_cast_2,1_gender_cast_2,0_gender_cast_2,3_gender_cast_2,Acting_relevance_cast_2,popularity_cast_3,2_gender_cast_3,1_gender_cast_3,0_gender_cast_3,3_gender_cast_3,Acting_relevance_cast_3,popularity_cast_4,2_gender_cast_4,1_gender_cast_4,0_gender_cast_4,3_gender_cast_4,Acting_relevance_cast_4,popularity_cast_5,2_gender_cast_5,1_gender_cast_5,0_gender_cast_5,3_gender_cast_5,Acting_relevance_cast_5
11,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417,32537975.0708417
13,False,14000000.0,744275.0,9/1/2021,19000000.0,99.0,en,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,334.9428333333333,3.629,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.822,1.0,0.0,0.0,0.0,1.0,7.049,0.0,1.0,0.0,0.0,1.0,3.071,1.0,0.0,0.0,0.0,1.0,7.477,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,False,200000000.0,524434.0,11/3/2021,336000000.0,157.0,en,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.217,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.836,1.0,0.0,0.0,0.0,1.0,17.239,0.0,1.0,0.0,0.0,1.0,8.53,1.0,0.0,0.0,0.0,1.0,9.478,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,False,43000000.0,576845.0,10/21/2021,19000000.0,117.0,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,9.498,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.207,0.0,1.0,0.0,0.0,1.0,9.551,1.0,0.0,0.0,0.0,1.0,2.84,0.0,1.0,0.0,0.0,1.0,1.66,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,False,110000000.0,550988.0,8/11/2021,331096766.0,115.0,en,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,688.695,7.663,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.804,0.0,1.0,0.0,0.0,1.0,11.58,1.0,0.0,0.0,0.0,1.0,8.308,1.0,0.0,0.0,0.0,1.0,7.897,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,False,165000000.0,438631.0,9/15/2021,367000000.0,155.0,en,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,592.788,9.232,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.579,0.0,1.0,0.0,0.0,1.0,15.536,1.0,0.0,0.0,0.0,1.0,12.76,1.0,0.0,0.0,0.0,1.0,11.756,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,False,9100000.0,589761.0,4/15/2021,5370393.0,136.0,ru,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.953,0.0,1.0,0.0,0.0,1.0,1.708,1.0,0.0,0.0,0.0,1.0,7.126,0.0,1.0,0.0,0.0,1.0,0.708,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,False,215000000.0,1930.0,6/23/2012,757930663.0,136.0,en,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.488,4.607,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.342,0.0,1.0,0.0,0.0,1.0,10.333,1.0,0.0,0.0,0.0,1.0,4.228,1.0,0.0,0.0,0.0,1.0,3.987,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,False,116000000.0,335983.0,9/28/2018,855013954.0,112.0,en,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8316.27,1.315,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.417,0.0,1.0,0.0,0.0,1.0,2.233,1.0,0.0,0.0,0.0,1.0,2.416,1.0,0.0,0.0,0.0,1.0,5.275,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,False,82000000.0,459151.0,7/1/2021,128000000.0,107.0,en,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.044,1.0,0.0,0.0,0.0,1.0,2.758,0.0,1.0,0.0,0.0,1.0,5.314,1.0,0.0,0.0,0.0,1.0,6.263,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
